Hospital name,Phone number,Street address,Suburb,Postcode,State,Local Hospital Network (LHN),Primary Health Network area (PHN),Website,Description,Sector,Beds,Latitude,Longitude,Hospital_ID
Northpark Private Hospital,03 9468 0100,Corner of Plenty and Greenhills Roads,Bundoora,3083,Vic,,,www.northparkprivatehospital.com.au,,Private,100-199,-37.691208,145.061631,633
Northside Clinic,02 9433 3555,2 Greenwich Road,Greenwich,2065,NSW,,,www.northsidegroup.com.au,,Private,50-99,-33.825156,151.188367,634
Northside Cremorne Clinic,02 9909 8577,3 Harrison Street,Cremorne,2090,NSW,,,www.northsidegroup.com.au,,Private,<50,-33.833425,151.222886,635
Northside Macarthur Clinic,02 4640 5555,92-96 Dumaresq Street,Campbelltown,2560,NSW,,,www.northsidemacarthur.com.au/,,Private,<50,-34.071999,150.816958,636
Northside West Clinic,02 8833 2222,23-27 Lytton Street,Wentworthville,2145,NSW,,,www.northsidegroup.com.au,,Private,50-99,-33.811188,150.974575,637
Norwest Private Hospital,02 8882 8882,11 Norbrik Drive,Bella Vista,2153,NSW,,,www.norwestprivatehospital.com.au,,Private,200-500,-33.744941,150.953608,638
Nowra Private Hospital,02 4424 4700,Weeroona Place,Nowra,2541,NSW,,,www.nowraprivate.com.au,,Private,50-99,-34.893534,150.606551,639
Numurkah & District Health Service,03 5862 0555,2 Katamatite Road,Numurkah,3636,Vic,Numurkah and District Health Service,Murray,,Regional hospital,Public,<50,-36.100001,145.443695,640
Nyngan Multi Purpose Service,02 6835 1700,Hospital Road,Nyngan,2825,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-31.560024,147.208772,641
Oakey Hospital,07 4691 4888,Corner Beale and Fitzpatrick Streets,Oakey,4401,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-oakey-hs.asp,Regional hospital,Public,<50,-27.424079,151.719088,642
Oberon Multi Purpose Service,02 6336 7200,67-73 North Street,Oberon,2787,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-33.705249,149.853596,643
Omeo District Health,03 5159 0100,12 Easton Street,Omeo,3898,Vic,Omeo District Health,Gippsland,www.gha.net.au/odh,Regional hospital,Public,<50,-37.098142,147.597321,644
Onslow Hospital,08 9184 3200,Second Avenue,Onslow,6710,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=221,Regional hospital,Public,<50,-21.643238,115.115389,645
Orange Day Surgery Centre,02 6360 3699,60-62 McNamara Street,Orange,2800,NSW,,,,,Private,<50,-33.283027,149.102737,646
Orange Health Service,02 6369 3000,1530 Forest Road,Orange,2800,NSW,Western NSW,Western NSW,,Large regional hospital with an emergency department,Public,200-500,-33.317316,149.093953,647
Orbost Regional Health,03 5154 6666,104 Boundary Road,Orbost,3888,Vic,Orbost Regional Health,Gippsland,,Small hospital,Public,<50,-37.701844,148.464957,648
Oromax Day Surgery,08 8232 3525,"Level 3, 1 Hutt Street",Adelaide,5000,SA,,Adelaide,www.oromax.com.au,,Private,<50,-34.925331,138.611441,649
Orroroo and District Health Service,08 8658 1023,Pekina Road,Orroroo,5431,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/orroroohealthservice,Regional hospital,Public,<50,-32.738519,138.607206,650
Orygen Inpatient Unit,03 8345 7550,35 Mavis Street,Footscray,3011,Vic,Melbourne Health,North Western Melbourne,www.oyh.org.au,Specialist psychiatric hospital,Public,<50,-37.791926,144.886617,651
Osborne Park Hospital,08 9346 8000,Osborne Place,Stirling,6021,WA,North Metropolitan Health Service (WA),Perth North,www.oph.health.wa.gov.au,Small hospital,Public,100-199,-31.885976,115.804717,652
Otway Health & Community Services [Apollo Bay],03 5237 8500,37-43 Mclachlan Street,Apollo Bay,3233,Vic,Otway Health and Community Services (Apollo Bay),Western Victoria,www.otwayhealth.org.au,Regional hospital,Public,<50,-38.753853,143.664264,653
Oxford Day Surgery and Dermatology,08 6140 1000,"Suite 4, 1st Floor, 416-418 Oxford Street",Mount Hawthorn,6016,WA,,,www.oxforddaysurgery.com.au,,Private,<50,-31.922727,115.841536,654
Oxford Day Surgery Centre,08 8373 1755,54 Oxford Terrace,Unley,5061,SA,,,,,Private,,-34.949659,138.608408,655
Pacific Private Day Hospital,07 5556 6222,123 Nerang Street,Southport,4215,Qld,,,www.pacificprivatehospital.com.au,,Private,<50,-27.970407,153.407829,656
Pambula Hospital,02 6495 8200,Merimbola Street,Pambula,2549,NSW,Southern NSW,South Eastern NSW,,Regional hospital,Public,<50,-36.926316,149.879232,657
Paraburdoo Hospital,08 9159 8222,Lot 608 Rocklea Road,Paraburdoo,6754,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=254,Regional hospital,Public,<50,-23.203031,117.670633,658
Parkside Cosmetic Surgery,08 8357 0300,7 Unley Road,Parkside,5063,SA,,,www.parksidecosmetic.com.au,,Private,<50,-34.941936,138.606952,659
Parkwynd Private Hospital,08 8223 3294,137 East Terrace,Adelaide,5000,SA,,,www.parkwyndprivatehospital.com.au,,Private,<50,-34.928514,138.614276,660
Peak Hill Multipurpose Service,02 6861 7100,111 Newell Highway,Peak Hill,2869,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-32.735907,148.199615,661
Peel Health Campus,08 9531 8000,110 Lakes Road,Mandurah,6210,WA,South Metropolitan Health Service (WA),Perth South,www.health.wa.gov.au/services/detail.cfm?Unit_ID=2514,Medium metropolitan hospital with an emergency department,Public,100-199,-32.532573,115.763504,662
Pemberton Hospital,08 9776 4000,Railway Cresent,Pemberton,6260,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=149,Regional hospital,Public,<50,-34.444875,116.031954,663
Peninsula Private Hospital Queensland,07 3883 9300,Corner of George and Florence Streets,Kippa-Ring,4021,Qld,,,www.peninsulaprivate.com.au,,Private,<50,-27.230696,153.093087,664
Peninsula Private Hospital Victoria,03 9788 3466,525 McClelland Drive,Frankston,3199,Vic,,,www.peninsulaph.com.au/,,Private,100-199,-38.157557,145.169552,665
Pennant Hills Day Surgery,02 9481 0048,361 Pennant Hills Rd,Pennant Hills,2120,NSW,,,www.pennanthillsdaysurgery.com.au,,Private,,-33.738295,151.074354,666
Penola War Memorial Hospital,08 8737 2311,18 Church Street,Penola,5277,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/penolahospital,Regional hospital,Public,<50,-37.382873,140.836465,667
Perfect Vision Day Surgery,131340,3/25-29 Hunter Street,Hornsby,2077,NSW,,,www.perfectvision.com.au,,Private,,-33.70323,151.100259,668
Perth Childrens Hospital,08 6456 2222,15 Hospital Avenue,Nedlands,6009,WA,Child Adolescent Health Service (WA),Perth North,pch.health.wa.gov.au,Specialist children's hospital with an emergency department,Public,,-31.969503,115.817165,669
Perth Clinic,08 9481 4888,27-29 Havelock Street,West Perth,6005,WA,,,www.perthclinic.com.au,,Private,50-99,-31.950874,115.843266,670
Peter MacCallum Cancer Centre,03 9656 1111,305 Grattan Street,Melbourne,3000,Vic,Peter MacCallum Cancer Institute (Vic),North Western Melbourne,www.petermac.org,Specialist cancer hospital,Public,100-199,-37.80001,144.956607,671
Peterborough Soldiers' Memorial Hospital,08 8651 0400,23 Hurlstone Street,Peterborough,5422,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/peterboroughhospital,Regional hospital,Public,<50,-32.980786,138.830344,672
Pindara Day Procedure Centre,07 5588 9588,13 Carrara Street,Benowa,4217,Qld,,,,,Private,,-28.008508,153.39373,673
Pindara Private Hospital,07 5588 9888,Allchurch Avenue,Benowa,4217,Qld,,,www.pindaraprivate.com.au,,Private,200-500,-28.007076,153.393569,674
Pine Rivers Private Hospital,07 3881 7222,34 Dixon Street,Strathpine,4500,Qld,,,www.pineriversprivatehospital.com.au,,Private,50-99,-27.308361,152.994832,675
Pingelly Health Centre,08 9887 2222,Corner of Somerset St and Brown St,Pingelly,6308,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=150,Regional hospital,Public,<50,-32.533042,117.089789,676
Pinnaroo Soldiers' Memorial Hospital,08 8577 9222,Bundey Terrace,Pinnaroo,5304,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/pinnaroohospital,Regional hospital,Public,<50,-35.257499,140.902447,677
Plantagenet Hospital,08 9892 1222,Langton Road,Mount Barker,6324,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=151,Regional hospital,Public,<50,-34.626092,117.654561,678
Port Augusta Hospital and Regional Health Services,08 8668 7500,71 Hospital Road,Port Augusta,5700,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/ptaugusthospital,Medium regional hospital with an emergency department,Public,50-99,-32.509417,137.776279,679
Port Broughton and District Hospital and Health Service,08 8635 2200,Bay Street,Port Broughton,5522,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/ptbroughtonhospital,Regional hospital,Public,<50,-33.601287,137.934379,680
Port Kembla Hospital,02 4223 8000,89-91 Cowper Street,Warrawong,2502,NSW,Illawarra Shoalhaven,South Eastern NSW,www.islhd.health.nsw.gov.au/Port_Kembla_Hospital/default.asp,Metropolitan hospital,Public,50-99,-34.485923,150.881778,681
Port Lincoln Health Service,08 8683 2200,39 Oxford Terrace,Port Lincoln,5606,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/ptlincolnhospital,Small hospital with an emergency department,Public,50-99,-34.72408,135.850201,682
Port Macquarie Hospital,02 6581 2000,1-31 Wrights Road,Port Macquarie,2444,NSW,Mid North Coast,North Coast,,Large regional hospital with an emergency department,Public,200-500,-31.452336,152.878304,683
Port Macquarie Private Hospital,02 6583 5655,Lake Road,Port Macquarie,2444,NSW,,,www.portmacquarieprivate.com.au/,,Private,50-99,-31.442073,152.909375,684
Port Pirie Regional Health Service,08 8638 4500,Alexander Street,Port Pirie,5540,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/PtPiriehospital,Small hospital with an emergency department,Public,50-99,-33.177339,138.005533,685
Portland District Health,03 5521 0333,Bentinck Street,Portland,3305,Vic,Portland District Health,Western Victoria,www.pdh.net.au,Small hospital,Public,50-99,-38.340713,141.606087,686
Portland Hospital,02 6359 2666,20 Green Street,Portland,2847,NSW,Nepean Blue Mountains,Nepean Blue Mountains,www.nbmlhd.health.nsw.gov.au/Portland-Tabulam-Health-Service,Regional hospital,Public,<50,-33.358415,149.978565,687
Pregnancy Advisory Centre,08 8243 3999,21 Belmore Terrace,Woodville Park,5011,SA,Central Adelaide,Adelaide,http://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/womens+health+services/unplanned+pregnancy+services/south+australia+abortion+and+support+services,Metropolitan hospital,Public,<50,-34.87999,138.542962,688
Prince of Wales Hospital,02 9382 2222,320-346 Barker Street,Randwick,2031,NSW,South Eastern Sydney,Central and Eastern Sydney,www.seslhd.health.nsw.gov.au/prince-of-wales-hospital,Major hospital with an emergency department,Public,200-500,-33.918492,151.23938,689
Prince of Wales Private Hospital,02 9650 4000,Barker Street,Randwick,2031,NSW,,,www.princeofwalesprivatehospital.com.au,,Private,100-199,-33.918492,151.238659,690
Princess Alexandra Hospital,07 3176 2111,199 Ipswich Road,Woolloongabba,4102,Qld,Metro South (Qld),Brisbane South,www.health.qld.gov.au/services/metrosouth/pa-hosp.asp,Major hospital with an emergency department,Public,>500,-27.499402,153.033542,691
Proserpine Hospital,07 4813 9400,26-34 Taylor Street,Proserpine,4800,Qld,Mackay,Northern Queensland,www.health.qld.gov.au/services/mackay/whitsunday_hs.asp,Small hospital,Public,<50,-20.400017,148.584976,692
QEII Family Centre,02 6205 2333,129 Carruthers Street,Curtin,2605,ACT,Australian Capital Territory,Australian Capital Territory,www.cmsinc.org.au,Early parenting centre,Public,<50,-35.323284,149.079172,693
Quairading Hospital,08 9645 1100,Harris Street,Quairading,6383,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=155,Regional hospital,Public,<50,-32.014481,117.402627,694
Queanbeyan Hospital,02 6150 7000,16 Erin Street,Queanbeyan,2620,NSW,Southern NSW,South Eastern NSW,,Small hospital with an emergency department,Public,50-99,-35.347685,149.232294,695
Queen Elizabeth Centre [Noble Park],03 9549 2777,53 Thomas Street,Noble Park,3174,Vic,Victoria Virtual Local Hospital Network,South Eastern Melbourne,www.qec.org.au,Early parenting centre,Public,<50,-37.972053,145.178285,696
Queen Elizabeth II Jubilee Hospital,07 3275 6111,Corner of Kessels and Troughton Roads,Coopers Plains,4108,Qld,Metro South (Qld),Brisbane South,www.health.qld.gov.au/services/metrosouth/qeii-hosp.asp,Large metropolitan hospital with an emergency department,Public,200-500,-27.559673,153.048852,697
Queensland Childrens Hospital,07 3068 1111,501 Stanley Street,South Brisbane,4101,Qld,Children's Health Queensland,Brisbane South,www.childrens.health.qld.gov.au/lcch/,Specialist children's hospital with an emergency department,Public,200-500,-27.484305,153.026717,698
Queensland Eye Hospital,07 3236 9844,55 Little Edward Street,Spring Hill,4000,Qld,,,http://www.curagroup.com.au/queensland-eye-hospital,,Private,<50,-27.4613,153.024547,699
Quilpie Hospital,07 4656 0100,30 Gyrica Street,Quilpie,4480,Qld,South West (Qld),Western Queensland,www.health.qld.gov.au/services/southwest/swest_quilpie_hosp.asp,Regional hospital,Public,<50,-26.616519,144.274617,700
Quirindi Hospital,02 6746 0200,Nowland Street,Quirindi,2343,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-31.500345,150.676621,701
Quorn Health Service,08 8648 7888,Hospital Road,Quorn,5433,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/quornhospital,Regional hospital,Public,<50,-32.350917,138.038138,702
Radiation Oncology Institute - Gosford,02 4349 8000,41 William Street,Gosford,2250,NSW,,,https://www.radiationoncologycentres.com.au/centres/gosford/,,Private,,-33.427046,151.345848,703
Radiation Oncology Institute - The Sydney Adventist Hospital Wahroonga,02 9487 9300,185 Fox Valley Road,Wahroonga,2076,NSW,,,http://www.sah.org.au/radiotherapy,,Private,,-33.733389,151.098606,704
Ravensthorpe Health Centre,08 9838 2211,Martin Street,Ravensthorpe,6346,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=157,Regional hospital,Public,<50,-33.584918,120.045461,705
Redcliffe Hospital,07 3883 7777,Anzac Avenue,Redcliffe,4020,Qld,Metro North (Qld),Brisbane North,www.health.qld.gov.au/services/metronorth/metronorth_redc_hosp.asp,Large metropolitan hospital with an emergency department,Public,200-500,-27.228269,153.105245,706
Redland Hospital,07 3488 3111,Weippin Street,Cleveland,4163,Qld,Metro South (Qld),Brisbane South,www.health.qld.gov.au/services/metrosouth/redland-hosp.asp,Medium metropolitan hospital with an emergency department,Public,100-199,-27.539992,153.251379,707
Renmark Paringa District Hospital,08 8580 4100,Ral Ral Avenue,Renmark,5341,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/renmarkhospital,Small hospital,Public,<50,-34.164836,140.745205,708
Richmond Hospital,07 4741 6100,Gallagher Drive,Richmond,4822,Qld,Townsville,Northern Queensland,www.health.qld.gov.au/services/townsville/tville_rich_hc.asp,Regional hospital,Public,<50,-20.738726,143.150471,709
Ringwood Private Hospital,03 8804 4000,36 Mt Dandenong Road,Ringwood,3135,Vic,,,www.ringwoodprivatehospital.com.au,,Private,50-99,-37.811523,145.243629,710
Rivercity Private Hospital,,401 Milton Road,Auchenflower,4066,Qld,,,,,Private,<50,-27.473491,152.995132,711
Riverina Day Surgery,02 6925 6256,2-8 Meurant Avenue,Wagga Wagga,2650,NSW,,,http://www.curagroup.com.au/riverina-day-surgery,,Private,,-35.120903,147.353809,712
Riverland General Hospital,08 8580 2400,Maddern Street,Berri,5343,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/riverlandhospital,Small hospital with an emergency department,Public,50-99,-34.276054,140.600984,713
Riverlands Drug and Alcohol Centre,02 6620 7600,Hunter Street,Lismore,2480,NSW,Northern NSW,North Coast,,Drug and alcohol hospital,Public,<50,-28.80834,153.29112,714
Riverton District Soldiers' Memorial Hospital,08 8847 2300,23 Moorhouse Terrace,Riverton,5412,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/rivertonhospital,Regional hospital,Public,<50,-34.160353,138.742657,715
Robina Hospital,07 5668 6000,2 Bayberry Lane,Robina,4226,Qld,Gold Coast,Gold Coast,www.health.qld.gov.au/services/goldcoast/gcoast_robina_hosp.asp,Medium metropolitan hospital with an emergency department,Public,200-500,-28.072198,153.377284,716
Robina Procedure Centre,07 5592 7999,"4110, Level 3, Robina Town Centre",Robina,4230,Qld,,,,,Private,<50,-28.077603,153.3843,717
Robinvale District Health Services,03 5051 8111,128-132 Latje Road,Robinvale,3549,Vic,Robinvale District Health Services,Murray,www.rdhs.com.au,Regional hospital,Public,<50,-34.584146,142.781367,718
Rochester & Elmore District Health Service,03 5484 4400,1 Pascoe Street,Rochester,3561,Vic,Rochester and Elmore District Health Service,Murray,www.redhs.com.au,Regional hospital,Public,<50,-36.366579,144.697751,719
Rockhampton Hospital,07 4920 6211,Canning Street,Rockhampton,4700,Qld,Central Queensland,"Central Queensland, Wide Bay and Sunshine Coast",www.health.qld.gov.au/services/central-queensland/rockhampton.asp,Large regional hospital with an emergency department,Public,200-500,-23.379525,150.494542,720
Rockingham General Hospital,08 9599 4000,Elanora Drive,Cooloongup,6168,WA,South Metropolitan Health Service (WA),Perth South,www.rkpg.health.wa.gov.au,Large metropolitan hospital with an emergency department,Public,100-199,-32.291359,115.770899,721
